id,host_id,neighbourhood_cleansed,price_cleaned,Term
810743475037900190,67585919,Vadhana,746.00,Long Term
810780582464287565,67585919,Vadhana,746.00,Long Term
810796511593301722,67585919,Vadhana,842.00,Long Term
810798126139846337,67585919,Vadhana,746.00,Long Term
810754879971155992,67585919,Vadhana,746.00,Long Term
883668891163446499,67585919,Vadhana,1588.00,Short Term
838326967210078713,67585919,Vadhana,6967.00,Short Term
838345418460884248,67585919,Vadhana,6051.00,Short Term
819879454394324973,67585919,Vadhana,5482.00,Short Term
810730717598235835,67585919,Vadhana,746.00,Long Term
810748940400377872,67585919,Vadhana,831.00,Long Term
810756683793913399,67585919,Vadhana,746.00,Long Term
810761108676716425,67585919,Vadhana,746.00,Long Term
810766979462393914,67585919,Vadhana,746.00,Long Term
810806337319692234,67585919,Vadhana,842.00,Long Term
810809865330244824,67585919,Vadhana,842.00,Long Term
810738697235599737,67585919,Vadhana,831.00,Long Term
810812185010910551,67585919,Vadhana,842.00,Long Term
810770207619836892,67585919,Vadhana,842.00,Short Term
922377148922262396,67585919,Vadhana,6111.00,Short Term
810777551739050827,67585919,Vadhana,746.00,Long Term
810799445298348708,67585919,Vadhana,746.00,Long Term
922382641102644777,67585919,Vadhana,4794.00,Short Term
810789938202143191,67585919,Vadhana,746.00,Long Term
810747547694739628,67585919,Vadhana,746.00,Long Term
922092174066698992,67585919,Vadhana,5935.00,Short Term
922322158128865824,67585919,Vadhana,5935.00,Short Term
847505603507661646,67585919,Vadhana,6967.00,Short Term
922325485723019130,67585919,Vadhana,6051.00,Short Term
810728388089084031,67585919,Vadhana,748.00,Long Term
810736540357071340,67585919,Vadhana,831.00,Long Term
810750325694117258,67585919,Vadhana,831.00,Long Term
810762853790107260,67585919,Vadhana,746.00,Long Term
810764805168016496,67585919,Vadhana,746.00,Long Term
810774629971897618,67585919,Vadhana,746.00,Long Term
810783526200075252,67585919,Vadhana,831.00,Long Term
810792495899066714,67585919,Vadhana,746.00,Long Term
810794430031970105,67585919,Vadhana,746.00,Long Term
810803026176950299,67585919,Vadhana,842.00,Long Term
810801015100324434,67585919,Vadhana,842.00,Long Term
913403632665759908,52161947,Vadhana,881.00,Short Term
45130578,52161947,Vadhana,1434.00,Short Term
45319647,52161947,Vadhana,1434.00,Short Term
914127731302900255,52161947,Vadhana,794.00,Short Term
913305029849540209,52161947,Vadhana,411.00,Short Term
913283001169277058,52161947,Vadhana,1344.00,Short Term
914146167664518944,52161947,Vadhana,794.00,Short Term
914116353740163853,52161947,Vadhana,869.00,Short Term
833982305917449446,402093105,Vadhana,6967.00,Short Term
798101805499779876,402093105,Vadhana,1588.00,Short Term
810005430563394182,402093105,Vadhana,816.00,Short Term
